X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate,GlobalID
-9823268.63482646,4883231.92816386,11802,City of Champaign Violators Will be Towed at Owners Exp,"18"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,R7-201,Champaign,12949,,AERIAL,K,,8887,,{56DDE73E-7238-4629-8ADC-5DF3BFD6C4AC}
-9823266.04350424,4883231.82145042,11803,City of Champaign Violators Will be Towed at Owners Exp,"18"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,R7-201,Champaign,12950,,AERIAL,K,,8888,,{E3B8BD51-0DCA-4680-B208-7FB7BDEC9246}
-9823263.34838937,4883231.81872861,11804,City of Champaign Violators Will be Towed at Owners Exp,"18"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,R7-201,Champaign,12951,,AERIAL,K,,8889,,{F789F355-335B-4CD2-9158-6ABE8DA78F0B}
-9823260.54971669,4883231.81590143,11805,City of Champaign Violators Will be Towed at Owners Exp,"18"" X 24""", ,Hill Street Parking Deck, ,Parking Deck, ,R7-201,Champaign,12952,,AERIAL,K,,8890,,{364BF8AD-F5E7-4DCD-A546-215CDDB86702}
-9823257.95839459,4883231.70918587,11806,Emergency Phone Push Button for Assistance arrow down,"12"" X 12""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12953,,AERIAL,K,,8891,,{B9AACB5D-4A19-4DDE-9FEC-26F420BC07F7}
-9823255.36720301,4883231.60260086,11807,Exit arrows left,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12954,,AERIAL,K,,8892,,{02AD49FB-95E1-4426-9DF9-B47BA36AB744}
-9823250.28793427,4883231.70143122,11808,Level 1,"18"" X 30""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12955,,AERIAL,K,,8893,,{B1DA5231-DEAA-4833-A01B-5E48DFAA6F37}
-9823252.87936071,4883231.70405175,11809,Exit arrows left,"16"" X 54""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12956,,AERIAL,K,,8894,,{9DAB3FAE-BF51-4A73-9831-84BBC240A904}
-9823247.69650784,4883231.69880999,11810,Exit Only Do Not Enter,"120"" X 16""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12957,,AERIAL,K,,8895,,{D1903AC9-034B-4608-BCBE-E20DEA2DB08D}
-9823314.49171751,4883232.39060748,11811,Exit Only Do Not Enter,"120"" X 16""", ,Hill Street Parking Deck, ,Parking Deck, ,OM3-L,Champaign,12958,,AERIAL,K,,8896,,{A39EF93A-891F-46ED-997D-E67C1F8ED7EA}
-9823311.90042145,4883232.38800327,11812,Hill Street Exit,"20"" X 6""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12959,,AERIAL,K,,8897,,{6C2FDB4F-4FB4-4FDF-98D2-1D351E2FBD49}
-9823309.30909863,4883232.28130119,11813,Neil Street arrow right,"20"" X 6""", ,Hill Street Parking Deck, ,Parking Deck, ,N/A,Champaign,12960,,AERIAL,K,,8898,,{464F8D84-A6DE-4F71-A716-812A6614286B}
-9823306.82136042,4883232.27879976,11814,Reserved Parking Handicapped,"12"" X 18""",$250 Fine,Hill Street Parking Deck, ,Parking Deck, ,R7-8,Champaign,12961,,AERIAL,K,,8899,,{F4AD08F9-D2AD-4E00-963E-BC57B32776F0}
